x_coord,y_coord,surface,end,z_top,cwt_f10,cwt_f12,cwt_f14,cwt_f16,cwt_f18,cwt_f20,cwt_f22,cwt_f24,cwt_f26,cwt_f28,cwt_f30,cwt_f32,cwt_f34,cwt_f36,cwt_f38,cwt_f40,cwt_f42,cwt_f44,cwt_f46,cwt_f48,cwt_f50,cwt_f52,cwt_f54,cwt_f56,cwt_f58,cwt_f60,cwt_f62,cwt_f64,cwt_f66,cwt_f68,cwt_f70,cwt_f72,cwt_f74,cwt_f76,cwt_f78,cwt_f80,DAS_name,Borehole_name
192543.6495,502897.3388,0.37,-5.2,4.2,3.8838521425716206e-09,4.9852834179139195e-09,5.59797355155667e-09,5.1167135442937865e-09,4.5069539521721495e-09,4.962150723127476e-09,5.288347988673616e-09,4.752912099678927e-09,3.8444306922767084e-09,2.4436868354348682e-09,1.772767714454011e-09,1.3666082513708763e-09,1.645949764551104e-09,1.8490670370658675e-09,1.6586800827777207e-09,1.4589974240356332e-09,1.1371506945064691e-09,9.097102990318091e-10,6.780945394109773e-10,5.742742563128476e-10,4.872276661444349e-10,4.566505255507073e-10,4.3714026008209356e-10,3.9031806215350413e-10,3.423723283698541e-10,2.9761297060428477e-10,2.9794266527878736e-10,2.775679220989022e-10,2.3455777345723493e-10,1.7368103798318588e-10,1.5137801093512096e-10,1.4822039625973159e-10,1.6336385077578287e-10,1.6233197597822152e-10,1.220746927056358e-10,1.0041983311299043e-10,340,21D0186
192526.8438,502907.5543,0.37,-5.2,4.8,8.532496088411111e-09,1.0880035247567418e-08,1.1938719656241602e-08,1.0204480954819568e-08,7.852498219276448e-09,8.092071358860085e-09,8.525021530581536e-09,7.945265332447494e-09,6.628855184957683e-09,4.317128590835893e-09,3.1244278558077607e-09,2.4821902066275693e-09,2.6390214112025892e-09,2.7554441762972023e-09,2.4618345129704023e-09,2.1926780178017144e-09,1.8126390680984183e-09,1.5290073058033884e-09,1.2062735379605112e-09,1.0357533979100526e-09,8.477564071931285e-10,7.352181894570085e-10,7.00743148088938e-10,6.525782113864337e-10,6.011563010785152e-10,5.239482609717564e-10,4.5873156658204627e-10,3.7051138755681255e-10,3.153517971738157e-10,2.394902346777784e-10,1.9648080537956883e-10,2.0971411947654868e-10,2.4565401887706886e-10,2.428211479874241e-10,2.078414003449261e-10,1.8268329527230479e-10,360,21D0188
192510.2102,502918.0547,0.37,-5.2,4.8,6.233340887584099e-09,8.121564523023151e-09,9.206302821974528e-09,8.285447113223453e-09,7.144611928558459e-09,7.352002390383773e-09,7.254491506516243e-09,6.026499642027127e-09,4.776105494133321e-09,3.1772784800913793e-09,2.4546703930238572e-09,1.963293270621152e-09,2.2228324188889834e-09,2.3511767369974193e-09,2.0016577044032594e-09,1.6751802439627432e-09,1.27274683901626e-09,1.0595868624454283e-09,8.715775832963054e-10,7.629200429230961e-10,6.446661924856976e-10,6.00311757126052e-10,6.057410789863874e-10,5.701718738189929e-10,4.853339885873826e-10,3.7643936041351275e-10,3.3869110245659907e-10,2.9081329814053166e-10,2.4889078071531526e-10,1.8526718406368934e-10,1.6466002972392928e-10,1.7232170829766178e-10,1.945325271928288e-10,2.0216732657456046e-10,1.704466941613424e-10,1.464982402034953e-10,380,21D0188
192493.5767,502928.5551,0.37,-5.2,4.8,6.573430005731376e-09,7.671621788594266e-09,7.6061425157444e-09,6.522647136695955e-09,5.705004200527727e-09,5.907070026708679e-09,5.7782416401123245e-09,4.887692128204523e-09,4.056368635579009e-09,2.92490703349807e-09,2.4323216322025944e-09,2.02754698552058e-09,1.8902043305854363e-09,1.8202672200100351e-09,1.607183647041637e-09,1.435907720026143e-09,1.174328251599433e-09,1.010973877505762e-09,8.348923864775163e-10,7.3124008258652e-10,6.124117633950575e-10,5.5322654843074e-10,5.134240403624895e-10,4.5671302493145625e-10,4.2269984855303245e-10,4.011739990003659e-10,4.0972538090025797e-10,4.683984540774901e-10,5.097035479789164e-10,4.6078824062598727e-10,3.1900883357947063e-10,2.6526269201176587e-10,3.0134497779694637e-10,3.4672330861103417e-10,3.61211775719676e-10,3.2967196427698906e-10,400,21D0188
192476.9432,502939.0555,0.42,-4.5,3.3000000000000003,4.443194385562584e-09,5.549737323298691e-09,5.869733390713294e-09,5.201338306058428e-09,4.539839666321996e-09,4.7011089393964646e-09,4.686969864516425e-09,4.070775310820601e-09,3.2877835196182317e-09,2.127483067936864e-09,1.5887433076686044e-09,1.314993217546051e-09,1.5744753066700502e-09,1.6007277856963207e-09,1.1974662240681596e-09,9.210039063062603e-10,7.569969022448331e-10,6.919684705066522e-10,5.590222198400118e-10,4.754342555439217e-10,3.937921070917679e-10,3.6268156946182574e-10,3.5407047554023884e-10,3.4022204062471635e-10,3.5632171398860834e-10,4.0293962878783776e-10,4.499941624631004e-10,5.410420006868297e-10,5.324962759071703e-10,4.012615926474013e-10,3.121529250690577e-10,2.931624348784092e-10,2.6467777421315393e-10,2.4539895138658097e-10,2.0974393645779224e-10,1.925674604328793e-10,420,21D0189
192460.3097,502949.5559,0.42,-4.5,3.3000000000000003,3.943113173536218e-09,4.165291183491434e-09,3.890867506287395e-09,3.500162184939659e-09,3.043532676255704e-09,2.945270046353018e-09,2.986966526781176e-09,2.754512602815005e-09,2.4185238199124414e-09,1.872174196516873e-09,1.52820200521495e-09,1.2451354675972634e-09,1.2817797255651447e-09,1.2597868158544003e-09,9.990985184951234e-10,8.34318203090774e-10,6.703088979954646e-10,5.862154472782972e-10,5.016811508821408e-10,4.5850762056995525e-10,3.9930461602509716e-10,3.6166521176177426e-10,3.4393204475713815e-10,3.0470261790913735e-10,2.749705001726738e-10,2.485252977769207e-10,2.5773743375165224e-10,2.8719713500341166e-10,3.1083899680105954e-10,3.175789599186813e-10,2.6456442738513733e-10,2.301001163546744e-10,2.0741861144730668e-10,2.375099894205117e-10,3.9955157341639727e-10,5.772599249605703e-10,440,21D0189
192347.2411,503028.0934,0.47,-3.95,3.0500000000000003,7.3739705084736945e-09,7.82904769797576e-09,7.501556113054415e-09,6.8289806479382465e-09,6.029216409056759e-09,5.714676100778201e-09,5.6676034283590394e-09,5.276073359228567e-09,4.604580956915059e-09,3.305637549619629e-09,2.609386312559837e-09,2.078759867804002e-09,1.940894886260294e-09,1.8758291953888634e-09,1.5946208641330515e-09,1.4047083908537983e-09,1.213830438814847e-09,1.0875983353175403e-09,9.244443069452527e-10,8.16637127804062e-10,6.819996841272201e-10,5.822927166083387e-10,5.354326933746946e-10,4.706434665965493e-10,4.310643842839107e-10,4.2418940692458365e-10,4.5683675081424635e-10,5.487518268212209e-10,5.659640190896531e-10,4.544198647935061e-10,3.0941828652194157e-10,2.6932541632161297e-10,3.025716066659614e-10,3.3253132609939205e-10,3.8598195915863126e-10,4.3313911008390406e-10,580,21D0192
192331.4762,503039.858,0.47,-3.95,3.0500000000000003,3.475104765115436e-09,4.287665763963512e-09,4.4744255196568314e-09,3.906608001232292e-09,3.3073924466020442e-09,3.446683393283534e-09,3.5200523200281118e-09,3.138589282178774e-09,2.6997290456113956e-09,1.849114503742065e-09,1.423486447282746e-09,1.142770322781371e-09,1.2296844603969336e-09,1.2167049184434747e-09,8.977711746846516e-10,7.017251363483047e-10,5.89516287254073e-10,5.576694231026232e-10,4.994782743488118e-10,4.297780360979148e-10,3.433314663375517e-10,3.0280753029036446e-10,2.8532486782454847e-10,2.7084214010887257e-10,2.811792198754709e-10,2.998117767233398e-10,2.862379515752216e-10,2.445362540473306e-10,2.3604046646641384e-10,2.739968308159312e-10,3.621934970704898e-10,4.3034765132543166e-10,4.046095823567599e-10,3.187101775460878e-10,2.354689570100364e-10,2.2610067881309023e-10,600,21D0192
192315.7113,503051.6226,0.47,-3.95,3.0500000000000003,2.7560333935749804e-09,3.6066400091737294e-09,4.194161914337505e-09,3.833323716773136e-09,3.3436693885555163e-09,3.5388161843601202e-09,3.633313726226666e-09,3.203775254974219e-09,2.710089888798417e-09,1.7758933042523924e-09,1.2394251318910204e-09,8.805625217686402e-10,9.095460792162065e-10,9.01910251292112e-10,6.779746684058222e-10,5.257858938855925e-10,4.375105323068805e-10,3.9142959758032004e-10,3.0732795178526145e-10,2.5363285416563375e-10,1.9905142279677948e-10,1.7662624480025962e-10,1.6601627289803864e-10,1.52535521025738e-10,1.447009992098803e-10,1.3209182043884002e-10,1.2145463750777106e-10,1.0510792335969964e-10,9.498926832089618e-11,8.597240628722489e-11,8.876390064324346e-11,1.1358828174171449e-10,1.827489529053481e-10,2.01979781251355e-10,1.6517776262545492e-10,1.3095927938261189e-10,620,21D0192
192299.9464,503063.3872,0.42,-3.95,3.6,2.257034136758736e-09,2.7955062071455303e-09,3.02261769749413e-09,2.6511732233527507e-09,2.14472586902938e-09,2.0978452578214202e-09,2.092400743435389e-09,1.883264674853764e-09,1.5703186770425064e-09,1.0017313466665372e-09,7.173646369814776e-10,5.5778989559576e-10,6.352671429985647e-10,6.357111378242965e-10,4.713797449760403e-10,3.568238022783836e-10,2.6975414573234025e-10,2.2898692074848348e-10,1.794000840184508e-10,1.5599001889200238e-10,1.3076695585438758e-10,1.1552520612098412e-10,1.0693354906833259e-10,9.37227219663326e-11,8.484262779563732e-11,8.589033410281528e-11,1.0665877626386631e-10,1.5386376319058348e-10,1.6277497587312414e-10,1.3435597548848768e-10,9.196051741438301e-11,7.918752346693445e-11,1.3398092438950992e-10,2.0137324923873175e-10,2.3247310011348657e-10,1.9100368090279856e-10,640,21D0183
