x_coord,y_coord,surface,end,z_top,cwt_f10,cwt_f12,cwt_f14,cwt_f16,cwt_f18,cwt_f20,cwt_f22,cwt_f24,cwt_f26,cwt_f28,cwt_f30,DAS_name,Borehole_name
192331.4762,503039.858,0.47,-3.95,3.0500000000000003,3.475104765115436e-09,4.287665763963512e-09,4.4744255196568314e-09,3.906608001232292e-09,3.3073924466020442e-09,3.446683393283534e-09,3.5200523200281118e-09,3.138589282178774e-09,2.6997290456113956e-09,1.849114503742065e-09,1.423486447282746e-09,600,21D0192
192315.7113,503051.6226,0.47,-3.95,3.0500000000000003,2.7560333935749804e-09,3.6066400091737294e-09,4.194161914337505e-09,3.833323716773136e-09,3.3436693885555163e-09,3.5388161843601202e-09,3.633313726226666e-09,3.203775254974219e-09,2.710089888798417e-09,1.7758933042523924e-09,1.2394251318910204e-09,620,21D0192
192299.9464,503063.3872,0.42,-3.95,3.6,2.257034136758736e-09,2.7955062071455303e-09,3.02261769749413e-09,2.6511732233527507e-09,2.14472586902938e-09,2.0978452578214202e-09,2.092400743435389e-09,1.883264674853764e-09,1.5703186770425064e-09,1.0017313466665372e-09,7.173646369814776e-10,640,21D0183
192284.3372,503075.3522,0.42,-3.95,3.6,6.063809336334418e-09,7.311620630794276e-09,7.651461464410096e-09,6.633380799467043e-09,5.556440841262072e-09,5.654222935883263e-09,5.3901296599838654e-09,4.40278454654538e-09,3.605242581224737e-09,2.530646019408228e-09,2.107505526527466e-09,660,21D0183
192269.0431,503087.7224,0.41,-5.0,3.9,3.6557927692725807e-09,4.6299197071489365e-09,5.006788702016202e-09,4.354435757258222e-09,3.4847440939311166e-09,3.4659308200226505e-09,3.482246744679712e-09,2.8998650741068752e-09,2.296965036938786e-09,1.416675096020332e-09,1.0117009448754792e-09,680,21D0174
192253.749,503100.0925,0.41,-5.0,3.9,5.625610727437859e-09,6.139633727370418e-09,5.981351839570302e-09,5.34259435920548e-09,4.4700460421846605e-09,3.924215998763612e-09,3.5557653976904673e-09,2.989487476523964e-09,2.6480042756015436e-09,2.2063641618157542e-09,1.8982482748905036e-09,700,21D0174
192178.3915,503163.2654,0.33,-7.0,3.45,4.5750874935164246e-09,5.438182804296434e-09,5.512211824735335e-09,4.586709208281375e-09,3.5238304553721187e-09,3.341892503862989e-09,3.166276520630115e-09,2.656120846195335e-09,2.2793743052054723e-09,1.631947226892225e-09,1.279071641393272e-09,800,21D0176
192163.5914,503176.2225,0.33,-7.0,3.45,2.598342581962082e-09,3.0233021386757902e-09,3.0382643752498714e-09,2.5821546808366853e-09,1.9533674461758798e-09,1.7280329182425556e-09,1.576269931011329e-09,1.237899781615146e-09,1.0242194301844354e-09,7.324787654073863e-10,5.764912726686291e-10,820,21D0176
192148.7914,503189.1797,0.7000000000000001,-5.1000000000000005,4.6000000000000005,4.933283964062689e-09,5.898548167137074e-09,6.242443321302641e-09,5.434466582003899e-09,4.2040924688917105e-09,3.732416601893693e-09,3.443841933950293e-09,2.735025564031791e-09,2.240348826949899e-09,1.600770354629194e-09,1.2857143686444916e-09,840,21D0177
192134.0812,503202.2356,0.7000000000000001,-5.1000000000000005,4.6000000000000005,8.2861073830817e-09,1.0080641979446037e-08,1.0466274354677863e-08,8.884017670534205e-09,6.69537189720716e-09,5.731021815812975e-09,5.043231296534932e-09,3.955598553997698e-09,3.374674582790209e-09,2.486846998598004e-09,2.042274270406178e-09,860,21D0177
192119.7971,503215.7598,0.39,-6.5,5.2,5.2860936139863844e-09,6.278860248651632e-09,6.059578189823861e-09,4.8102691100206946e-09,3.2552268482239766e-09,2.83893394072423e-09,2.8841641940832873e-09,2.791418619492702e-09,2.406476249104663e-09,1.6120401615279596e-09,1.214219337913371e-09,880,21D0178
192105.513,503229.2841,0.39,-6.5,5.2,6.733406134330168e-09,7.712381532512826e-09,7.490318541182443e-09,6.537288485596507e-09,6.314375220021334e-09,7.270310290016689e-09,7.1983806270925315e-09,6.2568174946002915e-09,5.44732870627868e-09,3.9008737992083095e-09,3.033001854551569e-09,900,21D0178
192091.2289,503242.8083,0.39,-6.5,5.2,2.3428570243854927e-09,2.786675113071076e-09,2.754579263937193e-09,2.312656931208354e-09,1.979052151939421e-09,2.284508094410924e-09,2.3770757713630222e-09,2.2267889823427917e-09,1.978902112474551e-09,1.3698540310725411e-09,9.995450026626e-10,920,21D0178
