x_coord,y_coord,surface,end,z_top,cwt_f10,cwt_f12,cwt_f14,cwt_f16,cwt_f18,cwt_f20,cwt_f22,cwt_f24,cwt_f26,cwt_f28,cwt_f30,cwt_f32,cwt_f34,cwt_f36,cwt_f38,cwt_f40,Borehole_name,DAS_name,train_number
192733.7797,502794.1986,0.5,-4.0,,1.6987101892014663e-08,2.1360543366559892e-08,1.9405631141368757e-08,1.4382469365296848e-08,7.764180739127271e-09,5.143581949660414e-09,5.127216159735371e-09,4.353868153603876e-09,3.912629983472839e-09,3.473747090109925e-09,3.012308550048359e-09,2.731970921269771e-09,3.0113295362906303e-09,2.672213898759593e-09,1.987938747155027e-09,1.7408258735897015e-09,21D0187,120,25
192733.7797,502794.1986,0.5,-4.0,,1.0352854952322822e-08,1.6135263665510722e-08,1.8600744663306826e-08,1.5190523764305572e-08,8.248532607465004e-09,4.3161390207514064e-09,3.769526810229228e-09,4.096618916876202e-09,4.534339772237781e-09,3.878537786042282e-09,2.731143875681499e-09,1.74439222093429e-09,3.537517130149538e-09,4.075258641853205e-09,2.804349566408942e-09,1.724625289424444e-09,21D0187,120,26
192716.034,502802.6856,0.38,-2.45,1.05,1.37757119603293e-08,1.8245932667438995e-08,1.9170407709248797e-08,1.512424858188855e-08,8.586760263478928e-09,4.404089769464029e-09,3.306280484556905e-09,3.148810631806065e-09,2.792025390047336e-09,2.21504440976447e-09,2.291164920119653e-09,2.164415780256275e-09,2.2885563101625734e-09,2.2912175900945717e-09,2.060832573959617e-09,2.0545050527885204e-09,21D0156,140,1
192716.034,502802.6856,0.38,-2.45,1.05,1.8637856963464093e-08,2.4231846874508663e-08,2.1233235765981024e-08,1.490714950280591e-08,8.590741379391125e-09,5.983245354589777e-09,4.7070173624962375e-09,4.234067654201889e-09,4.785277765304737e-09,3.914800106362444e-09,2.772401532175969e-09,2.2761122608248013e-09,2.431338992318573e-09,2.091138533732921e-09,1.483496873448267e-09,1.441239956706511e-09,21D0156,140,2
192716.034,502802.6856,0.38,-2.45,1.05,1.4422789164432041e-08,2.1973175794388186e-08,2.40863273550211e-08,1.8720778041051562e-08,1.0379240704438188e-08,7.926646510072223e-09,6.6737320236356285e-09,4.655508715487131e-09,4.912490963238586e-09,4.802578080608482e-09,3.620658171168527e-09,2.3679827350292187e-09,2.8559126602741795e-09,2.886231791475482e-09,2.0762389174334062e-09,1.770639516286204e-09,21D0156,140,3
192716.034,502802.6856,0.38,-2.45,1.05,2.1135957750119687e-08,2.4388453595378855e-08,2.110140774370796e-08,1.6085812386886652e-08,1.0193482932771196e-08,6.588330011131791e-09,4.8440543482516365e-09,4.520755488802374e-09,5.004405095387301e-09,4.425432183474575e-09,3.783113925658666e-09,3.5772250887558702e-09,3.992151499560402e-09,3.7240017670541325e-09,2.5157847900018262e-09,1.9686223060662573e-09,21D0156,140,4
192716.034,502802.6856,0.38,-2.45,1.05,1.6211442967074325e-08,2.29387754273082e-08,2.3149617246377253e-08,1.7094925961129236e-08,8.65134114666257e-09,5.541647452010268e-09,5.007734775406662e-09,4.0428516178391e-09,3.944247973672075e-09,4.097353955081079e-09,3.7792465828223765e-09,3.2518671450941433e-09,3.043109796606887e-09,2.6519463873416516e-09,2.149326954702781e-09,2.380039639882347e-09,21D0156,140,5
192716.034,502802.6856,0.38,-2.45,1.05,1.2735974151446893e-08,2.0820401521824553e-08,2.4624594675892455e-08,1.9473297058347203e-08,1.0096512146344426e-08,5.3063095909698594e-09,4.372963833700486e-09,4.812236540647871e-09,6.1349884231316604e-09,6.845693414304787e-09,5.2355140815695246e-09,3.304967317399443e-09,3.734011650397736e-09,3.782978984577879e-09,2.776586333828837e-09,2.170363569210444e-09,21D0156,140,6
192716.034,502802.6856,0.38,-2.45,1.05,1.4568889742739722e-08,2.3565685474119952e-08,2.7269331161060665e-08,2.1406584918754715e-08,1.1604016855364778e-08,7.1322914982891134e-09,5.678368051906461e-09,5.3129237638250665e-09,6.405121611168321e-09,6.975610758402908e-09,5.4081378854233724e-09,3.529471364642416e-09,4.053464935217832e-09,3.997485658963887e-09,2.6843335296529772e-09,2.115878425414829e-09,21D0156,140,7
192716.034,502802.6856,0.38,-2.45,1.05,1.7626096387139584e-08,2.5606977760714223e-08,2.6725116566451993e-08,2.073922229820043e-08,1.2488961550050677e-08,8.272984713363292e-09,6.493737574415228e-09,6.594691950633434e-09,7.439748528051541e-09,6.615896032012923e-09,4.66528697993298e-09,3.151652440168341e-09,3.284733385000735e-09,3.141241078677835e-09,2.3695135501765806e-09,2.09187734599127e-09,21D0156,140,8
192716.034,502802.6856,0.38,-2.45,1.05,1.0499317519564031e-08,1.5188682354886392e-08,1.5809217211743588e-08,1.2075039488254988e-08,7.158167228634692e-09,5.267108534953125e-09,4.8906142659368604e-09,4.6377934898609696e-09,4.858110104391568e-09,4.463336711723074e-09,3.5089533973028604e-09,2.4833081597866427e-09,1.8862796880653547e-09,1.7652403978623514e-09,1.4965040420175268e-09,1.3322629273163342e-09,21D0156,140,9
192716.034,502802.6856,0.38,-2.45,1.05,1.343414970923263e-08,2.097040990959081e-08,2.3675732815925752e-08,1.8737570459992218e-08,1.0062517352476884e-08,5.940526323431174e-09,5.394302278922042e-09,4.621578419641287e-09,4.724400753493227e-09,4.953639384406986e-09,4.35843392066936e-09,3.6520147073226022e-09,3.151399455815663e-09,2.716631080882251e-09,2.2125822272091286e-09,2.2208629091075144e-09,21D0156,140,10
192716.034,502802.6856,0.38,-2.45,1.05,1.6621646130879383e-08,1.4809811748166804e-08,1.2914278976246702e-08,1.1606808001205486e-08,1.0288398482415112e-08,1.1264333555945196e-08,1.3479518986305449e-08,1.1971657980744817e-08,9.013852226084561e-09,5.740807013734791e-09,4.884567443295264e-09,3.773250178086549e-09,3.964778960361861e-09,3.9982978340804875e-09,2.9896075473786353e-09,2.3651630608994283e-09,21D0156,140,11
192716.034,502802.6856,0.38,-2.45,1.05,1.4349833080512856e-08,1.5966410829538544e-08,1.4021526746174538e-08,1.1776982912672994e-08,9.440599531365123e-09,9.749474519462145e-09,1.1905811842052265e-08,1.2361040771679009e-08,1.0164519174078318e-08,6.236074919435513e-09,5.383033630569336e-09,4.842013199056352e-09,5.004059063305974e-09,5.103976216495615e-09,4.660874164006818e-09,3.985366150744944e-09,21D0156,140,12
