x_coord,y_coord,surface,end,z_top,cwt_f10,cwt_f12,cwt_f14,cwt_f16,cwt_f18,cwt_f20,cwt_f22,cwt_f24,cwt_f26,cwt_f28,cwt_f30,cwt_f32,cwt_f34,cwt_f36,cwt_f38,cwt_f40,Borehole_name,DAS_name,train_number
192733.7797,502794.1986,0.5,-4.0,,7.270985953149139e-09,7.1125172157926e-09,6.619826451669156e-09,6.330865193486235e-09,8.529891579953851e-09,1.1018208046231875e-08,1.1170111421194233e-08,9.275679591463285e-09,6.7866680997051315e-09,3.674882363843477e-09,2.612445696623632e-09,2.2671952785060153e-09,3.303253687186183e-09,3.961284708430984e-09,3.1960676958899916e-09,2.205985769051121e-09,21D0187,120,25
192733.7797,502794.1986,0.5,-4.0,,2.30185903174445e-08,3.137039810760213e-08,2.7709985993644894e-08,1.884875172028301e-08,1.037632097134006e-08,8.376638703002962e-09,6.970023967120861e-09,5.3636894510332705e-09,5.321090755333946e-09,4.933344711772145e-09,4.368569752762116e-09,4.166878324033634e-09,3.5390433951188073e-09,2.857811154744313e-09,2.3517911558095804e-09,2.398895928547204e-09,21D0187,120,26
192733.7797,502794.1986,0.5,-4.0,,1.0051923522792345e-08,9.678657202773836e-09,8.381900819262947e-09,7.998200036002498e-09,9.149043850709817e-09,1.2937474915158217e-08,1.5677423033652078e-08,1.3409312515282582e-08,1.1342206287034504e-08,7.904222872245016e-09,5.610979204774215e-09,3.428818817742952e-09,3.2386753406213782e-09,4.330619781542206e-09,5.385406966569776e-09,4.462909768204119e-09,21D0187,120,27
192733.7797,502794.1986,0.5,-4.0,,1.5997637852797912e-08,1.8289592640680024e-08,1.5720994822185574e-08,1.1652199172411222e-08,6.949677714306399e-09,6.69134641906494e-09,7.156265696139089e-09,6.430057470255139e-09,6.9928884111460504e-09,6.0328388001962205e-09,4.5087858024217e-09,3.742512271401154e-09,3.47314829016963e-09,3.020360996459379e-09,2.3746997267299502e-09,2.1672021193488902e-09,21D0187,120,28
192733.7797,502794.1986,0.5,-4.0,,1.28016384587364e-08,1.4376051606928466e-08,1.4014941060137405e-08,1.1486820081476818e-08,1.1267186612413125e-08,1.4674874204027849e-08,1.4236726512646365e-08,1.2016949350761308e-08,1.0187585196550745e-08,6.669222177512877e-09,5.695996773216995e-09,4.280798502818171e-09,3.056650553380941e-09,3.313385257430142e-09,3.551921101298483e-09,3.185321353938392e-09,21D0187,120,29
192733.7797,502794.1986,0.5,-4.0,,1.8561466203508132e-08,2.4577020377699597e-08,2.434637621895255e-08,1.884599001001852e-08,1.1092352090772712e-08,7.307890083516468e-09,7.671770361723286e-09,9.368539930452796e-09,8.93905803358769e-09,6.887011407854957e-09,4.992164226250058e-09,3.874248910790897e-09,4.486535655339695e-09,4.546757706620507e-09,3.157852615439613e-09,2.489266345436481e-09,21D0187,120,30
192733.7797,502794.1986,0.5,-4.0,,8.78242841478242e-09,8.179999869020372e-09,1.0033890197288926e-08,9.900563537279532e-09,7.856549286848616e-09,8.704106763094461e-09,8.473543298447008e-09,5.83156356138174e-09,4.01598374760379e-09,2.685156031408025e-09,2.513568603784565e-09,2.159568156628154e-09,2.3261003231496153e-09,2.450931123160564e-09,1.7388294795686752e-09,1.203652595309985e-09,21D0187,120,31
192733.7797,502794.1986,0.5,-4.0,,5.564869717855771e-09,7.733744724823466e-09,9.213883245544232e-09,8.237228436621221e-09,5.621524039343697e-09,4.533547612834805e-09,3.867418153359723e-09,2.6227686138816148e-09,2.336857484644756e-09,2.2029174722273238e-09,1.9795069930271584e-09,1.6228550326169266e-09,2.338557072823661e-09,2.8357050940682974e-09,2.2708179362423622e-09,1.5006194387871703e-09,21D0187,120,32
192733.7797,502794.1986,0.5,-4.0,,4.007018305155376e-09,5.123651292689436e-09,6.710506174149341e-09,7.084949481366572e-09,6.704579601645836e-09,8.685169213336974e-09,1.0063164084743696e-08,8.278850901863045e-09,5.583580699084762e-09,2.694488855298382e-09,1.988507233607624e-09,1.872773677052444e-09,2.1011050499114434e-09,2.210986646551794e-09,1.7597277392989815e-09,1.4314831836064798e-09,21D0187,120,33
192733.7797,502794.1986,0.5,-4.0,,1.519550571483489e-08,2.1110395476880656e-08,2.2671307020896257e-08,1.8532085441366278e-08,1.0982299367760938e-08,6.580554690784691e-09,5.5383512666167995e-09,4.2818094014785005e-09,4.300202623253453e-09,4.357801974145562e-09,3.844142592870987e-09,3.541546631928113e-09,3.439014763604989e-09,3.500617450059558e-09,2.7804083285413e-09,2.020884279086361e-09,21D0187,120,34
